SLPR_ID,PFF_ID,OVR-RK,TIER,PLAYER,POS,CFB,HT,WT,40dsh,POS-RK,GRD,Gs,tYDS,tTD,OPP,IMP/OPP
13287,171090,1,1,Jeremiyah Love,RB,NOTRE DAME,"6'0""",212 lbs,4.36,1,94.0,41,3467,42.0,507,0.385
13269,158323,2,2,Fernando Mendoza,QB,INDIANA,"6'5""",236 lbs,--,1,90.0,36,9156,82.0,1181,0.493
13279,170273,3,2,Carnell Tate,WR,OHIO STATE,"6'0""",192 lbs,4.53,1,89.0,37,1894,14.0,163,0.583
13294,174150,4,2,Makai Lemon,WR,USC,"5'11""",192 lbs,--,2,88.0,29,2025,16.0,191,0.545
13281,157690,5,2,Jordyn Tyson,WR,ARIZONA ST,"6'0""",203 lbs,--,3,87.0,33,2280,23.0,267,0.483
13298,170362,6,3,KC Concepcion,WR,TEXAS A&M,"6'0""",196 lbs,--,4,84.0,38,2656,28.0,362,0.417
13276,156395,7,3,Omar Cooper,WR,INDIANA,"6'0""",199 lbs,4.42,5,81.0,38,1895,24.0,176,0.602
13346,162481,8,3,Denzel Boston,WR,WASHINGTON,"6'1""",212 lbs,--,6,80.0,37,1783,21.0,205,0.595
13330,174132,9,3,Kenyon Sadiq,TE,OREGON,"6'3""",241 lbs,4.39,1,80.0,35,933,11.0,110,0.573
13349,147013,10,4,Eli Stowers,TE,VANDERBILT,"6'4""",239 lbs,4.51,2,77.0,39,1925,13.0,237,0.506
13268,159499,11,4,Elijah Sarratt,WR,INDIANA,"6'0""",210 lbs,--,7,75.0,40,2981,32.0,271,0.672
13275,157008,12,4,Ty Simpson,QB,ALABAMA,"6'0""",211 lbs,--,2,74.5,28,4399,33.0,616,0.440
13286,156985,13,4,Jadarian Price,RB,NOTRE DAME,"6'0""",203 lbs,4.49,2,74.0,41,1852,24.0,299,0.358
13305,145672,14,4,Mike Washington,RB,ARKANSAS,"6'2""",215 lbs,4.33,3,73.0,48,3225,28.0,666,0.290
13345,158717,15,4,Jonah Coleman,RB,WASHINGTON,"5'9""",225 lbs,--,4,72.0,50,3878,37.0,660,0.382
13337,156473,16,5,Emmett Johnson,RB,NEBRASKA,"5'11""",198 lbs,4.56,5,70.0,34,3161,20.0,562,0.324
13404,146757,17,5,Garrett Nussmeier,QB,LSU,NA,NA,NA,3,69.5,35,7505,55.0,1031,0.423
13320,174142,18,5,Zachariah Branch,WR,GEORGIA,NA,177 lbs,4.35,8,68.5,37,1726,10.0,225,0.409
13353,158409,19,5,Chris Brazzell,WR,TENNESSEE,"6'0""",198 lbs,4.37,9,68.0,40,2061,16.0,215,0.530
13288,164188,20,5,Nicholas Singleton,RB,PENN STATE,"6'0""",226 lbs,--,6,68.0,53,4449,54.0,753,0.360
13311,156321,21,5,Chris Bell,WR,LOUISVILLE,"6'0""",222 lbs,--,10,67.5,47,2209,12.0,225,0.484
13301,156241,22,5,Antonio Williams,WR,CLEMSON,NA,NA lbs,NA,11,67.0,43,2518,23.0,300,0.480
13303,156253,23,6,Cade Klubnik,QB,CLEMSON,"6'2""",207 lbs,--,4,65.5,47,11493,90.0,1750,0.401
13285,151069,24,6,Malachi Fields,WR,NOTRE DAME,NA,NA lbs,NA,12,65.0,48,2480,16.0,279,0.470
13293,176638,25,6,JaKobi Lane,WR,USC,NA,NA lbs,NA,13,64.5,30,1368,18.0,149,0.631
13274,158374,26,6,Germie Bernard,WR,ALABAMA,"6'1""",206 lbs,4.48,14,64.0,52,2398,18.0,265,0.521
13405,164158,27,6,Kaytron Allen,RB,PENN STATE,"5'11""",225 lbs,--,7,63.5,54,4657,43.0,863,0.335
13402,145163,28,6,Skyler Bell,WR,UCONN,"6'0""",192 lbs,4.40,15,63.0,52,3063,24.0,364,0.398
13278,162884,29,7,Max Klare,TE,OHIO STATE,"6'4""",246 lbs,--,3,62.5,31,1328,6.0,154,0.461
13338,160756,30,7,Kevin Coleman,WR,MISSOURI,NA,NA lbs,NA,16,62.0,39,2151,9.0,242,0.455
13401,146410,31,7,Michael Trigg,TE,BAYLOR,"6'4""",240 lbs,--,4,61.5,38,1416,14.0,179,0.441
13317,187922,32,7,Ted Hurst,WR,GA STATE,NA,NA lbs,NA,17,61.0,24,1960,15.0,224,0.469
