SLPR_ID,PFF_ID,PLAYER,POS,TM,CFB,HT,WT,40dsh,RD,RD & PK#,OVR_PK,RD_PICK#,OVR-RK,POS-RK,GRD,TIER,Gs,tYDS,tTD,OPP,IMP/OPP,paRTG,CMP%,paATT,CMP,paYDS,paTD,pa1D,YPA,pIMP,pIMP/ATT,CAR,ruYDS,YPC,ruTD,ru1D,INT,SAC
13269,158323,Fernando Mendoza,QB,LV,INDIANA,"6'5""",236 lbs,--,1,1.01,1,1,2,1,90.0,2,36,"9,156",82,1181,0.493,107.0,68.1%,1015,691,8248,71,435,8.1,506,0.50,166,908,5.47,11,65,22,80
13275,157008,Ty Simpson,QB,LAR,ALABAMA,"6'0""",211 lbs,--,1,1.13,13,13,12,2,74.5,4,28,"4,399",33,616,0.440,100.5,64.0%,525,336,3942,28,208,7.5,236,0.45,91,457,5.02,5,30,5,36
13272,124010,Carson Beck,QB,ARI,MIAMI FL,"6'5""",233 lbs,--,3,3.01,65,1,32,3,64.5,6,49,"12,087",92,1546,0.464,106.8,69.7%,1370,955,11520,85,579,8.4,664,0.48,176,567,3.22,7,47,30,46
13289,164157,Drew Allar,QB,PIT,PENN STATE,"6'5""",228 lbs,--,3,3.12,76,12,35,4,63.5,6,45,"8,394",73,1193,0.488,100.2,63.0%,1004,633,7398,61,423,7.4,484,0.48,189,996,5.27,12,86,13,43
13303,156253,Cade Klubnik,QB,NYJ,CLEMSON,"6'2""",207 lbs,--,4,4.10,110,10,49,5,56.5,8,47,"11,493",90,1750,0.401,93.7,63.2%,1448,915,10115,73,519,7.0,592,0.41,302,1378,4.56,17,93,24,76
13306,145996,Taylen Green,QB,CLE,ARKANSAS,"6'6""",227 lbs,4.36,6,6.01,182,1,55,6,55.0,8,49,"12,518",94,1609,0.460,89.3,59.4%,1203,715,9649,59,479,8.0,538,0.45,406,2869,7.07,35,167,35,70
13335,NA,Cole Payton,QB,PHI,NA,"6'3""",232 lbs,4.56,5,5.38,178,38,56,7,55.0,8,-,-,-,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13404,146757,Garrett Nussmeier,QB,KC,LSU,"6'1""",205 lbs,--,7,7.33,249,33,57,8,54.0,8,35,"7,505",55,1031,0.423,95.1,64.6%,975,630,7355,50,363,7.5,413,0.42,56,150,2.68,5,18,22,31
13427,156927,Diego Pavia,QB,BAL,VANDERBILT,"5'10""",207 lbs,--,UD,UD,UD,UD,58,9,52.0,8,53,"13,699",119,1841,0.471,102.9,62.0%,1235,766,10224,88,550,8.3,638,0.52,606,3475,5.73,31,198,27,68
13428,174978,Joey Aguilar,QB,JAX,TENNESSEE,"6'3""",229 lbs,--,NA,NA,NA,NA,59,10,51.0,8,38,"11,227",89,1447,0.471,97.7,62.0%,1262,782,10307,80,527,8.2,607,0.48,185,920,4.97,9,65,34,51
13557,144971,Athan Kaliakmanis,QB,WAS,RUTGERS,NA,NA,NA,7,7.07,223,7,NR,NR,NR,NR,-,-,-,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13295,144747,Behren Morton,QB,NE,TEXAS TECH,"6'2""",221 lbs,4.89,7,7.18,234,18,NR,NR,NR,NR,41,"9,473",78,1397,0.379,93.4,62.6%,1263,791,8987,71,420,7.1,491,0.39,134,486,3.63,7,32,28,70
13426,146839,Sawyer Robertson,QB,LV,BAYLOR,NA,NA,NA,UD,UD,UD,UD,NR,NR,NR,NR,33,"8,232",69,1110,0.442,94.0,60.2%,997,600,7612,61,377,7.6,438,0.44,113,620,5.49,8,45,25,47
13425,122555,Jalon Daniels,QB,TB,KANSAS,NA,NA,NA,UD,UD,UD,UD,NR,NR,NR,NR,36,"9,288",76,1230,0.469,98.9,62.2%,928,577,7699,59,395,8.3,454,0.49,302,1589,5.26,17,106,24,40
13415,124329,Haynes King,QB,CAR,GA TECH,"6'2""",212 lbs,4.46,UD,UD,UD,UD,NR,NR,NR,NR,42,"11,622",99,1635,0.435,94.9,65.1%,1194,777,9094,62,444,7.6,506,0.42,441,2528,5.73,37,168,30,39
13350,104768,Joe Fagnano,QB,BAL,UCONN,NA,NA,NA,UD,UD,UD,UD,NR,NR,NR,NR,24,"5,626",52,738,0.420,110.0,64.6%,656,424,5265,48,232,8.0,280,0.43,82,361,4.40,4,26,6,26
13314,146802,Luke Altmyer,QB,DET,ILLINOIS,NA,NA,NA,UD,UD,UD,UD,NR,NR,NR,NR,39,"9,078",72,1218,0.453,97.6,63.6%,1003,638,7721,59,409,7.7,468,0.47,215,1357,6.31,13,71,22,96
13310,70727,Miller Moss,QB,CHI,LOUISVILLE,NA,NA,NA,UD,UD,UD,UD,NR,NR,NR,NR,27,"6,226",55,893,0.427,95.0,64.8%,826,535,6067,42,296,7.3,338,0.41,67,159,2.37,13,30,17,31
