SLPR_ID,PFF_ID,PLAYER,POS,CFB,HT,WT,40dsh,OVR-RK,POS-RK,GRD,TIER,Gs,tYDS,tTD,OPP,IMP/OPP,ruIMP,ruIMP/OPP,CAR,ruYDS,YPC,ruTD,ru1D,TGT,REC,recYDS,recTD,rec1D,TCH,FUM,LONG,MTF,MTF/A,YCO,YCO/A,EXPLSV,EXPLSV%
13287,171090,Jeremiyah Love,RB,NOTRE DAME,"6'0""",212 lbs,4.36,1,1,94,1,41,3467,42,507,0.38,162,0.32,433,2874,6.6,36,126,74,62,593,6,27,495,1,228,134,0.309,1884.5,4.35,74,17.1%
13286,156985,Jadarian Price,RB,NOTRE DAME,"6'0""",203 lbs,4.49,13,2,74,4,41,1852,24,299,0.36,97,0.32,281,1690,6.0,21,76,18,15,162,3,7,296,4,182,73,0.260,1203.0,4.28,54,19.2%
13305,145672,Mike Washington,RB,ARKANSAS,"6'2""",215 lbs,4.33,14,3,73,4,48,3225,28,666,0.29,169,0.25,559,2738,4.9,25,144,107,73,487,3,21,632,10,245,96,0.172,1704.6,3.05,72,12.9%
13345,158717,Jonah Coleman,RB,WASHINGTON,"5'9""",225 lbs,--,15,4,72,4,50,3878,37,660,0.38,215,0.33,551,3053,5.5,34,181,109,88,825,3,34,639,2,204,171,0.310,2185.5,3.97,88,16.0%
13337,156473,Emmett Johnson,RB,NEBRASKA,"5'11""",198 lbs,4.56,16,5,70,5,34,3161,20,562,0.32,147,0.26,457,2458,5.4,15,132,105,92,703,5,30,549,3,141,118,0.258,1374.5,3.01,60,13.1%
13288,164188,Nicholas Singleton,RB,PENN STATE,"6'0""",226 lbs,--,20,6,68,5,53,4449,54,753,0.36,219,0.29,625,3463,5.5,45,174,128,102,986,9,43,727,6,228,109,0.174,2150.6,3.44,84,13.4%
13405,164158,Kaytron Allen,RB,PENN STATE,"5'11""",225 lbs,--,27,7,63.5,6,54,4657,43,863,0.33,263,0.30,768,4167,5.4,39,224,95,70,490,4,22,838,5,208,187,0.243,2563.7,3.34,107,13.9%
13347,157523,Demond Claiborne,RB,WAKE,"5'9""",200 lbs,4.37,34,8,60.5,7,38,3022,28,630,0.28,157,0.25,559,2605,4.7,26,131,71,54,417,2,18,612,5,219,112,0.200,1718.2,3.07,69,12.3%
13300,158664,LeVeon Moss,RB,TEXAS A&M,NA,NA,NA,33,9,61,7,32,1995,22,358,0.36,123,0.34,321,1760,5.5,22,101,37,24,235,0,7,345,2,172,64,0.199,1175.2,3.66,44,13.7%
13424,122936,Seth McGowan,RB,KENTUCKY,NA,NA,NA,38,10,59,8,23,1955,18,384,0.30,93,0.24,320,1554,4.9,15,78,64,42,401,3,21,362,5,58,84,0.263,1029.5,3.22,37,11.6%
13419,158325,Jaydn Ott,RB,OKLAHOMA,NA,NA,NA,42,11,57.5,8,41,3403,30,674,0.29,155,0.23,553,2654,4.8,24,131,121,98,749,6,32,651,4,204,124,0.224,1657.0,3.00,71,12.8%
13403,157003,Jam Miller,RB,ALABAMA,NA,NA,NA,NR,NR,NR,NR,42,1940,15,400,0.28,91,0.23,350,1604,4.6,13,78,50,40,336,2,17,390,2,165,NA,NA,NA,NA,NA,NA
13348,150482,JMari Taylor,RB,VIRGINIA,NA,NA,NA,NR,NR,NR,NR,13,1315,15,276,0.32,75,0.27,222,1064,4.8,14,61,54,43,251,1,12,265,1,78,NA,NA,NA,NA,NA,NA
13438,145672,DeaMonte Trayanum,RB,ARKANSAS,NA,NA,NA,NR,NR,NR,NR,48,3225,28,666,0.29,169,0.25,559,2738,4.9,25,144,107,73,487,3,21,632,10,245,NA,NA,NA,NA,NA,NA
13437,123472,Noah Whittington,RB,OREGON,NA,NA,NA,NR,NR,NR,NR,43,2772,23,495,0.33,139,0.28,409,2327,5.7,19,120,86,73,445,4,22,482,1,192,NA,NA,NA,NA,NA,NA
13436,124129,Kentrel Bullock,RB,S ALABAMA,NA,NA,NA,NR,NR,NR,NR,36,2683,28,509,0.35,163,0.32,453,2358,5.2,25,138,56,44,325,3,14,497,2,157,NA,NA,NA,NA,NA,NA
13423,162554,Eli Heidenreich,RB,NAVY,NA,NA,NA,NR,NR,NR,NR,38,3151,23,341,0.43,59,0.17,169,1157,6.8,7,52,172,109,1994,16,73,277,1,131,NA,NA,NA,NA,NA,NA
13418,174094,Robert Henry,RB,UTSA,NA,NA,NA,NR,NR,NR,NR,35,2758,30,475,0.31,126,0.27,405,2339,5.8,27,99,70,55,419,3,19,459,6,207,NA,NA,NA,NA,NA,NA
13416,144891,Roman Hemby,RB,INDIANA,NA,NA,NA,NR,NR,NR,NR,54,4495,32,839,0.30,197,0.23,693,3389,4.9,27,170,146,129,1106,5,46,822,2,272,NA,NA,NA,NA,NA,NA
13414,138448,Kaelon Black,RB,INDIANA,NA,NA,NA,NR,NR,NR,NR,50,2735,22,508,0.31,132,0.26,447,2302,5.1,16,116,61,50,433,6,18,497,4,145,NA,NA,NA,NA,NA,NA
13352,121537,Lincoln Pare,RB,TEXAS ST,NA,NA,NA,NR,NR,NR,NR,36,3088,28,561,0.37,178,0.32,477,2434,5.1,25,153,84,78,654,3,27,555,3,200,NA,NA,NA,NA,NA,NA
13339,174754,Davon Booth,RB,MISS STATE,NA,NA,NA,NR,NR,NR,NR,36,2492,24,461,0.32,126,0.27,408,2113,5.2,18,108,53,40,379,6,15,448,1,130,NA,NA,NA,NA,NA,NA
13328,157691,Anthony Hankerson,RB,OREGON ST,NA,NA,NA,NR,NR,NR,NR,44,3134,29,717,0.29,191,0.27,625,2765,4.4,28,163,92,70,369,1,18,695,5,191,NA,NA,NA,NA,NA,NA
13327,159936,Desmond Reid,RB,PITTSBURGH,NA,NA,NA,NR,NR,NR,NR,18,2145,13,342,0.33,66,0.19,246,1255,5.1,7,59,96,74,890,6,40,320,0,125,NA,NA,NA,NA,NA,NA
13323,176482,Rahsul Faison,RB,S CAROLINA,NA,NA,NA,NR,NR,NR,NR,37,2581,16,471,0.30,126,0.27,411,2312,5.6,16,110,60,52,269,0,13,463,1,143,NA,NA,NA,NA,NA,NA
13315,156624,Dean Connors,RB,HOUSTON,NA,NA,NA,NR,NR,NR,NR,49,3845,31,693,0.31,157,0.23,510,2678,5.3,22,135,183,145,1167,9,51,654,7,204,NA,NA,NA,NA,NA,NA
13302,156252,Adam Randall,RB,CLEMSON,"6'2""",225 lbs,4.5,NR,NR,NR,NR,25,1258,15,251,0.40,59,0.24,172,853,5.0,10,49,79,52,405,5,37,224,2,87,NA,NA,NA,NA,NA,NA
13291,123640,Kejon Owens,RB,FIU,NA,NA,NA,NR,NR,NR,NR,40,2452,22,457,0.32,138,0.30,411,2249,5.5,22,116,46,39,203,0,7,450,2,173,NA,NA,NA,NA,NA,NA
13283,173719,Hollywood Smothers,RB,NC STATE,NA,NA,NA,NR,NR,NR,NR,26,2005,15,323,0.28,72,0.22,261,1553,6.0,12,60,62,56,452,3,14,317,1,134,NA,NA,NA,NA,NA,NA
13277,157372,CJ Donaldson,RB,OHIO STATE,NA,NA,NA,NR,NR,NR,NR,45,2705,42,573,0.40,213,0.37,514,2419,4.7,40,173,59,47,286,2,17,561,4,189,NA,NA,NA,NA,NA,NA
13271,175374,Mark Fletcher,RB,MIAMI FL,"6'2""",225 lbs,--,NR,NR,NR,NR,36,2614,28,477,0.37,162,0.34,433,2306,5.3,26,136,44,34,308,2,14,467,5,141,NA,NA,NA,NA,NA,NA
