SLPR_ID,PFF_ID,PLAYER,POS,CFB,HT,WT,40dsh,OVR-RK,POS-RK,GRD,TIER,Gs,tYDS,tTD,OPP,IMP/OPP,REC%,1D,REC,TGT,recTD,recYDS,1D/tgt,YPR,FUM,RR,YPRR,1DRR,TGT%,IMP/RR,tgtQBR,YAC,CTST%,DROP%,AY,CAR,ruYDS,ruTD,ru1D
13279,170273,Carnell Tate,WR,OHIO STATE,"6'0""",192 lbs,4.53,3,1,89,2,37,1894,14,163,0.58,75.2%,81,121,161,14,1872,0.50,15.5,0,826,2.27,0.098,19.5%,0.115,134.4,579,68.8%,4.0%,1293,2,22,0,0
13294,174150,Makai Lemon,WR,USC,"5'11""",192 lbs,--,4,2,88,2,29,2025,16,191,0.54,74.9%,86,137,183,14,2008,0.47,14.7,1,664,3.02,0.130,27.7%,0.151,119.1,931,57.1%,2.8%,1077,8,17,2,2
13281,157690,Jordyn Tyson,WR,ARIZONA ST,"6'0""",203 lbs,--,5,3,87,2,33,2280,23,267,0.48,60.7%,105,159,262,22,2275,0.40,14.3,3,841,2.71,0.125,31.2%,0.151,105.7,817,52.4%,7.6%,1458,5,5,1,1
13330,174132,Kenyon Sadiq,TE,OREGON,"6'3""",241 lbs,4.39,9,1,80,3,35,933,11,110,0.57,80.2%,48,81,101,11,891,0.48,11.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,42,0,4
13298,170362,KC Concepcion,WR,TEXAS A&M,"6'0""",196 lbs,--,6,4,84,3,38,2656,28,362,0.42,63.3%,106,186,294,25,2224,0.36,12.0,4,1096,2.03,0.097,26.8%,0.120,100.5,1232,48.6%,9.3%,992,68,432,3,17
13276,156395,Omar Cooper,WR,INDIANA,"6'0""",199 lbs,4.42,7,5,81,3,38,1895,24,176,0.60,67.3%,80,115,171,22,1798,0.47,15.6,0,728,2.47,0.110,23.5%,0.140,137.5,754,54.3%,4.2%,1044,5,97,2,2
13346,162481,Denzel Boston,WR,WASHINGTON,"6'1""",212 lbs,--,8,6,80,3,37,1783,21,205,0.60,64.7%,100,132,204,20,1781,0.49,13.5,0,881,2.02,0.114,23.2%,0.136,106.7,657,61.1%,3.6%,1124,1,2,1,1
13349,147013,Eli Stowers,TE,VANDERBILT,"6'4""",239 lbs,4.51,10,2,77,4,39,1925,13,237,0.51,73.3%,94,148,202,11,1774,0.47,12.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,151,2,13
13268,159499,Elijah Sarratt,WR,INDIANA,"6'0""",210 lbs,--,11,7,75,4,40,2981,32,271,0.67,73.7%,149,199,270,31,2980,0.55,15.0,1,1428,2.56,0.125,23.4%,0.126,146.2,1227,57.4%,3.6%,2425,1,1,1,1
13320,174142,Zachariah Branch,WR,GEORGIA,,177 lbs,4.35,18,8,68.5,5,37,1726,10,225,0.41,75.8%,77,160,211,9,1634,0.36,10.2,1,806,2.03,0.096,26.2%,0.107,105.8,1275,38.1%,4.8%,359,14,92,1,5
13353,158409,Chris Brazzell,WR,TENNESSEE,"6'0""",198 lbs,4.37,19,9,68,5,40,2061,16,215,0.53,62.8%,98,135,215,16,2061,0.46,15.3,0,986,2.09,0.099,21.8%,0.116,115.3,463,40.8%,8.2%,1598,0,0,0,0
13311,156321,Chris Bell,WR,LOUISVILLE,"6'0""",222 lbs,--,21,10,67.5,5,47,2209,12,225,0.48,67.7%,96,151,223,12,2166,0.43,14.3,0,1078,2.01,0.089,20.7%,0.100,113.2,874,55.9%,7.9%,1292,2,43,0,1
13285,151069,Malachi Fields,WR,NOTRE DAME,NA,NA lbs,NA,24,12,65,6,48,2480,16,279,0.47,59.4%,115,165,278,16,2486,0.41,15.1,4,1281,1.94,0.090,21.7%,0.102,88.5,768,47.3%,5.7%,1718,1,-6,0,0
13293,176638,JaKobi Lane,WR,USC,NA,NA lbs,NA,25,13,64.5,6,30,1368,18,149,0.63,66.4%,76,99,149,18,1368,0.51,13.8,0,702,1.95,0.108,21.2%,0.134,127.6,380,49%,7.5%,988,0,0,0,0
