WK,SLPR_ID,NM,POS,AGE,TM,VS,fpts,proj,pass_att,pass_cmp,cmp_pct,pass_yd,pass_td,pass_fd,epa_per_db,cpoe,dp_pct,imp_per_g,pass_rtg,pass_imp,pass_imp_per_att,pass_int,pass_sack,ttt,prs_pct,rush_att,rush_yd,ypc,rush_td,rush_fd,mtf,elu,ryoe,rush_yac,yco_per_att,expl_ru_pct,mtf_per_att,rec_tgt,rec,rec_yd,rec_td,rec_fd,rec_yar,ypr,rr,rz_tgt,ts_per_rr,csty_pct,yprr,first_down_rec_rate,imp,opp,fum,snp,snp_pct,yds_total,fpoe,pa_ypg,ru_ypg,rec_ypg,ay_pct
1,4881,Lamar Jackson,QB,28.7,BAL,@ BUF,29.36,25.1,19,14,73.7,209,2,6,,,21.1,,144.4,8,42.1,0,2,2.7,27.3,6,70,11.67,1,4,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,13,25,0,51,100,279,4.3,,,,
1,4984,Josh Allen,QB,29.3,BUF,vs BAL,38.76,23.5,46,33,71.7,394,2,16,,,15.2,,112,18,39.1,0,1,2.98,25,14,30,2.14,2,2,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,22,60,0,85,100,424,15.3,,,,
1,7564,Ja'Marr Chase,WR,25.5,CIN,@ CLE,4.6,20.4,0,0,0,0,0,0,,,,1,0,0,,0,0,,,0,0,0,0,0,,,,,,,,5,2,26,0,1,13,13,24,,21.7,,1.08,0.042,1,5,0,45,87,26,-15.8,,,,
1,11566,Jayden Daniels,QB,24.7,WAS,vs NYG,20.12,23.9,30,19,63.3,233,1,10,,,13.3,,98.3,11,36.7,0,3,2.73,21.6,11,68,6.18,0,3,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,14,41,0,70,100,301,-3.8,,,,
1,9509,Bijan Robinson,RB,23.6,ATL,vs TB,24.4,19.7,0,0,0,0,0,0,,,,3,0,0,,0,0,,,12,24,2,0,0,4,0.553,,26,2.2,,0.333,7,6,100,1,2,106,16.7,,,16.7,,,,3,19,0,63,83,124,4.7,,,,
1,6794,Justin Jefferson,WR,26.2,MIN,@ CHI,14.8,18.9,0,0,0,0,0,0,,,,2,0,0,,0,0,,,1,4,4,0,0,,,,,0,,0,7,4,44,1,1,12,11,23,,35,,1.91,0.043,2,8,0,55,98,48,-4.1,,,,
1,11632,Malik Nabers,WR,22.1,NYG,@ WAS,12.1,15.7,0,0,0,0,0,0,,,,4,0,0,,0,0,,,0,0,0,0,0,,,,,,,,12,5,71,0,4,24,14.2,37,,32.4,,1.92,0.108,4,12,0,64,94,71,-3.6,,,,
1,9221,Jahmyr Gibbs,RB,23.5,DET,@ GB,15,19,0,0,0,0,0,0,,,,2,0,0,,0,0,,,9,19,2.11,0,1,5,0.856,,27,3,,0.556,10,10,31,0,1,31,3.1,,,25.6,,,,2,19,0,44,66,50,-4,,,,
1,6786,CeeDee Lamb,WR,26.4,DAL,@ PHI,18,17.7,0,0,0,0,0,0,,,,6,0,0,,0,0,,,0,0,0,0,0,,,,,,,,13,7,110,0,6,44,15.7,30,,38.2,,3.67,0.2,6,13,0,56,92,110,0.3,,,,
1,11604,Brock Bowers,TE,22.8,LV,@ NE,15.3,16.2,0,0,0,0,0,0,,,,4,0,0,,0,0,,,0,0,0,0,0,,,,,,,,8,5,103,0,4,54,20.6,21,,23.5,,4.9,0.19,4,8,0,32,51,103,-0.9,,,,
1,6904,Jalen Hurts,QB,27.1,PHI,vs DAL,24.28,24.9,23,19,82.6,152,0,6,,,4.3,,94.2,6,26.1,0,1,3.17,42.4,14,62,4.43,2,5,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,13,37,0,63,100,214,-0.6,,,,
1,9493,Puka Nacua,WR,24.3,LAR,vs HOU,23.1,16.6,0,0,0,0,0,0,,,,7,0,0,,0,0,,,1,1,1,0,0,,,,,0,,0,11,10,130,0,7,43,13,22,,37.9,,5.91,0.318,7,12,0,38,63,131,6.5,,,,
1,6770,Joe Burrow,QB,28.8,CIN,@ CLE,8.82,22.9,23,14,60.9,113,1,6,,,8.7,,87.8,7,30.4,0,3,2.76,28.6,2,3,1.5,0,0,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,7,25,0,52,100,116,-14.1,,,,
1,7547,Amon-Ra St. Brown,WR,25.9,DET,@ GB,8.5,16.6,0,0,0,0,0,0,,,,4,0,0,,0,0,,,0,0,0,0,0,,,,,,,,6,4,45,0,4,5,11.3,42,,15.4,,1.07,0.095,4,6,0,63,94,45,-8.1,,,,
1,12527,Ashton Jeanty,RB,21.8,LV,@ NE,12,18,0,0,0,0,0,0,,,,2,0,0,,0,0,,,19,38,2,1,1,5,0.443,,34,1.8,,0.263,2,2,2,0,0,6,1,,,5.9,,,,2,21,0,54,86,40,-6,,,,
1,11631,Brian Thomas Jr.,WR,22.9,JAX,vs CAR,9,17.2,0,0,0,0,0,0,,,,2,0,0,,0,0,,,1,9,9,1,0,,,,,0,,0,7,1,11,0,1,0,11,30,,22.6,,0.37,0.033,2,8,0,57,86,20,-8.2,,,,
1,6797,Justin Herbert,QB,27.5,LAC,vs KC,27.92,18.1,34,25,73.5,318,3,13,,,8.8,,131.7,16,47.1,0,3,2.88,36.6,7,32,4.57,0,1,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,17,41,0,65,100,350,9.8,,,,
1,8112,Drake London,WR,24.2,ATL,vs TB,13.5,17.6,0,0,0,0,0,0,,,,2,0,0,,0,0,,,0,0,0,0,0,,,,,,,,15,8,55,0,2,17,6.9,37,,35.7,,1.49,0.054,2,15,0,67,88,55,-4.1,,,,
1,9488,Jaxon Smith-Njigba,WR,23.6,SEA,vs SF,19.4,15.2,0,0,0,0,0,0,,,,6,0,0,,0,0,,,0,0,0,0,0,,,,,,,,13,9,124,0,6,29,13.8,21,,56.5,,5.9,0.286,6,13,2,40,77,124,4.2,,,,
1,4866,Saquon Barkley,RB,28.6,PHI,vs DAL,18.4,19.4,0,0,0,0,0,0,,,,6,0,0,,0,0,,,18,60,3.33,1,3,3,0.517,,63,3.5,,0.167,5,4,24,0,2,27,6,,,21.7,,,,6,23,0,50,79,84,-1,,,,
1,8130,Trey McBride,TE,25.8,ARI,@ NO,12.1,14.9,0,0,0,0,0,0,,,,4,0,0,,0,0,,,0,0,0,0,0,,,,,,,,9,6,61,0,4,43,10.2,33,,31,,1.85,0.121,4,9,0,64,97,61,-2.8,,,,
1,7569,Nico Collins,WR,26.5,HOU,@ LAR,5.5,17.6,0,0,0,0,0,0,,,,0,0,0,,0,0,,,0,0,0,0,0,,,,,,,,5,3,25,0,0,10,8.3,27,,18.5,,0.93,0,0,5,0,53,84,25,-12.1,,,,
1,11564,Drake Maye,QB,23.0,NE,vs LV,16.78,19.2,46,30,65.2,287,1,14,,,6.5,,80.6,15,32.6,1,4,2.8,37.7,4,11,2.75,0,0,,,,,0,,0,1,1,2,0,0,10,2,,,,,,,15,51,1,71,100,300,-2.4,,,,
1,12514,Emeka Egbuka,WR,22.9,TB,@ ATL,23.6,12.8,0,0,0,0,0,0,,,,2,0,0,,0,0,,,1,9,9,0,0,,,,,0,,0,6,4,67,2,0,15,16.8,32,,18.8,,2.09,0,2,7,0,54,93,76,10.8,,,,
1,11635,Ladd McConkey,WR,23.9,LAC,vs KC,13.4,15.4,0,0,0,0,0,0,,,,3,0,0,,0,0,,,0,0,0,0,0,,,,,,,,9,6,74,0,3,17,12.3,35,,26.5,,2.11,0.086,3,9,0,55,85,74,-2,,,,
1,4046,Patrick Mahomes,QB,30.0,KC,@ LAC,26.02,21.3,39,24,61.5,258,1,8,,,10.3,,89.5,9,23.1,0,2,2.38,25.5,6,57,9.5,1,4,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,14,45,0,61,100,315,4.7,,,,
1,11584,Bucky Irving,RB,23.1,TB,@ ATL,14.5,18.6,0,0,0,0,0,0,,,,2,0,0,,0,0,,,14,37,2.64,0,1,3,0.484,,38,2.7,,0.214,4,4,8,1,0,13,2,,,12.5,,,,2,18,0,44,76,45,-4.1,,,,
1,9226,De'Von Achane,RB,23.9,MIA,@ IND,16.5,20.2,0,0,0,0,0,0,,,,3,0,0,,0,0,,,7,55,7.86,0,2,4,1.241,,47,6.7,,0.571,4,3,20,1,0,26,6.7,,,12.9,,,,3,11,0,35,73,75,-3.7,,,,
1,6804,Jordan Love,QB,26.9,GB,vs DET,15.92,20,22,16,72.7,188,2,6,,,13.6,,128.6,8,36.4,0,0,2.84,34.8,3,4,1.33,0,1,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,9,25,0,48,100,192,-4.1,,,,
1,11563,Bo Nix,QB,25.6,DEN,vs TEN,8.84,20.3,40,25,62.5,176,1,8,,,7.5,,60,9,22.5,2,1,2.83,18.6,8,18,2.25,0,2,,,,,0,,0,0,0,0,0,0,0,0,,,,,,,11,48,1,76,100,194,-11.5,,,,
1,12526,Tetairoa McMillan,WR,22.4,CAR,@ JAX,11.8,14.9,0,0,0,0,0,0,,,,4,0,0,,0,0,,,0,0,0,0,0,,,,,,,,9,5,68,0,4,12,13.6,32,,25.7,,2.13,0.125,4,9,0,53,83,68,-3.1,,,,
1,12507,Omarion Hampton,RB,22.5,LAC,vs KC,8.1,14.4,0,0,0,0,0,0,,,,4,0,0,,0,0,,,15,48,3.2,0,4,5,0.613,,42,2.8,,0.333,2,2,13,0,0,17,6.5,,,5.9,,,,4,17,0,52,80,61,-6.3,,,,
1,11628,Marvin Harrison Jr.,WR,23.1,ARI,@ NO,18.1,12.2,0,0,0,0,0,0,,,,3,0,0,,0,0,,,0,0,0,0,0,,,,,,,,6,5,71,1,2,18,14.2,32,,20.7,,2.22,0.063,3,6,0,59,89,71,5.9,,,,
1,6813,Jonathan Taylor,RB,26.6,IND,vs MIA,12.8,18,0,0,0,0,0,0,,,,5,0,0,,0,0,,,18,71,3.94,0,3,4,0.502,,50,2.8,,0.222,3,3,27,0,2,29,9,,,10.3,,,,5,21,0,52,71,98,-5.2,,,,
