POS,STAT,CATEGORY,OPERATOR,ALT_OPERATOR,VALUE
QB,fpts,Y-MIN,-,,4.357
QB,fpts,LOW,<,,11.09
QB,fpts,MID-LOW,≥,,16.66
QB,fpts,MID-HIGH,≥,,22.25
QB,fpts,HIGH,≥,,26.906
QB,fpts,Y-MAX,-,,29.369
QB,pass_att,Y-MIN,-,,16
QB,pass_att,LOW,<,,25
QB,pass_att,MID-LOW,≥,,30
QB,pass_att,MID-HIGH,≥,,37
QB,pass_att,HIGH,≥,,42
QB,pass_att,Y-MAX,-,,46
QB,pass_cmp,Y-MIN,-,,10
QB,pass_cmp,LOW,<,,16
QB,pass_cmp,MID-LOW,≥,,20
QB,pass_cmp,MID-HIGH,≥,,24
QB,pass_cmp,HIGH,≥,,28
QB,pass_cmp,Y-MAX,-,,30
QB,cmp_pct,Y-MIN,-,,48.655
QB,cmp_pct,LOW,<,,58.3
QB,cmp_pct,MID-LOW,≥,,65.25
QB,cmp_pct,MID-HIGH,≥,,71.4
QB,cmp_pct,HIGH,≥,,76.76
QB,cmp_pct,Y-MAX,-,,79.575
QB,pass_yd,Y-MIN,-,,100.85
QB,pass_yd,LOW,<,,169.25
QB,pass_yd,MID-LOW,≥,,220
QB,pass_yd,MID-HIGH,≥,,270.75
QB,pass_yd,HIGH,≥,,313.6
QB,pass_yd,Y-MAX,-,,342
QB,pass_td,Y-MIN,-,,0
QB,pass_td,LOW,<,,1
QB,pass_td,MID-LOW,≥,,1
QB,pass_td,MID-HIGH,≥,,2
QB,pass_td,HIGH,≥,,3
QB,pass_td,Y-MAX,-,,4
QB,pass_fd,Y-MIN,-,,4
QB,pass_fd,LOW,<,,7
QB,pass_fd,MID-LOW,≥,,9
QB,pass_fd,MID-HIGH,≥,,11
QB,pass_fd,HIGH,≥,,14
QB,pass_fd,Y-MAX,-,,15
QB,epa_per_db,Y-MIN,-,,-0.46
QB,epa_per_db,LOW,<,,-0.16
QB,epa_per_db,MID-LOW,≥,,0.01
QB,epa_per_db,MID-HIGH,≥,,0.26
QB,epa_per_db,HIGH,≥,,0.51
