SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,recYPG,RYOE,FPOE,aFPOE,PROJ,CSTY%,CL
2025,4984,Josh Allen,QB,29.6,BUF,1,1,1,374.62,374.62,374.62,17,17,17,1057,1033,7,69.3%,1702,460,319,152,141,10,102.16,4247,40,25,3668,7.97,11.50,0,0,0,0,0,0,0,0,0.0,0.0,112,7,32,579,14,0,579,5.17,97.7%,NA,NA,NA,46,NA,223,572,0.390,13.1,NA,NA,NA,177,38.5%,2.58,9.3%,29.7%,6.3,NA,485,4247,1.5%,+0.10,249.8,215.8,34.1,0.0,NA,0.0,-2.1,410.5,76%,40.4
2025,9488,Jaxon Smith-Njigba,WR,23.8,SEA,2,2,2,359.9,300.4,240.9,17,17,17,1064,829,3,0.0%,0,0,0,0,0,0,0.00,36,0,0,0,0.00,0.00,119,1265,5,69,10,163,528,1793,15.1,11.0,7,1,2,1829,0,0,36,5.14,77.9%,NA,NA,NA,2,NA,81,170,0.476,4.8,478,33.9%,3.75,0,NA,NA,NA,NA,NA,0.144,0,1829,NA,NA,107.6,0.0,2.1,105.5,NA,0.0,0.1,341.6,94%,31.8
2025,7564,Ja'Marr Chase,WR,25.8,CIN,4,4,5,313.6,251.1,188.6,17,16,16,978,919,1,0.0%,0,0,0,0,0,0,0.00,14,0,0,0,0.00,0.00,125,772,4,65,8,185,640,1412,11.3,7.6,3,0,0,1426,0,0,14,4.67,94.0%,NA,NA,NA,0,NA,73,188,0.388,4.6,617,28.9%,2.29,0,NA,NA,NA,NA,NA,0.105,0,1426,NA,NA,89.1,0.0,0.9,88.3,NA,0.0,0.9,298.8,69%,34.5
2025,9221,Jahmyr Gibbs,RB,23.7,DET,3,4,4,366.9,328.4,289.9,17,17,17,1026,685,2,0.0%,0,0,0,0,0,0,0.00,1223,0,0,0,0.00,0.00,77,1,4,23,5,94,615,616,8.0,6.6,243,17,43,1839,13,744,1223,5.03,66.8%,80,3.06,0.329,56,0.635,84,337,0.249,4.9,NA,16.2%,NA,0,NA,NA,NA,NA,NA,NA,0,1839,NA,NA,108.2,0.0,71.9,36.2,296.0,0.0,-1.1,350.8,71%,43.5
2025,11564,Drake Maye,QB,23.3,NE,2,2,2,359.96,359.46,358.96,17,17,17,1035,1005,8,72.0%,2648,492,354,172,138,8,113.48,4844,47,31,4394,8.93,12.41,1,-8,0,0,0,1,10,2,2.0,2.0,103,1,34,452,4,0,450,4.37,97.1%,NA,NA,NA,38,NA,241,596,0.404,14.2,NA,NA,NA,203,41.3%,2.97,9.6%,38.1%,9.1,NA,601,4846,9.1%,+0.25,285.1,258.5,26.5,0.1,NA,0.0,-0.3,373.1,82%,29.0
2025,9509,Bijan Robinson,RB,23.8,ATL,2,3,3,370.8,331.3,291.8,17,17,17,1033,807,4,0.0%,0,0,0,0,0,0,0.00,1478,0,0,0,0.00,0.00,79,-37,4,30,4,103,857,820,10.4,8.0,287,22,56,2298,7,1122,1478,5.15,78.1%,107,3.91,0.373,63,0.764,97,390,0.249,5.7,NA,18.9%,NA,0,NA,NA,NA,NA,NA,NA,0,2298,NA,NA,135.2,0.0,86.9,48.2,402.0,0.0,1.8,347.4,76%,35.3
2025,9493,Puka Nacua,WR,24.5,LAR,1,1,1,375,310.5,246,16,16,15,990,675,1,0.0%,0,0,0,0,0,0,0.00,105,0,0,0,0.00,0.00,129,1049,4,70,10,166,666,1715,13.3,10.3,10,1,4,1820,1,0,105,10.5,68.2%,NA,NA,NA,5,NA,85,176,0.483,5.3,454,27.8%,3.78,0,NA,NA,NA,NA,NA,0.154,0,1820,NA,NA,113.8,0.0,6.6,107.2,NA,0.0,3.2,330.6,94%,39.4
2025,4881,Lamar Jackson,QB,28.9,BAL,20,20,20,221.86,221.86,221.86,13,13,13,704,651,7,63.6%,1485,302,192,88,110,7,103.75,2898,36,21,2549,8.44,13.28,0,0,0,0,0,0,0,0,0.0,0.0,67,7,22,349,2,0,349,5.21,92.5%,NA,NA,NA,24,NA,133,369,0.360,10.2,NA,NA,NA,109,36.1%,3.02,12.9%,36.5%,9.1,NA,372,2898,-2.2%,-0.04,222.9,196.1,26.8,0.0,NA,0.0,-6.0,310.9,54%,27.6
2025,11632,Malik Nabers,WR,22.4,NYG,102,99,97,57.1,48.1,39.1,17,4,4,277,216,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,18,219,1,9,2,35,52,271,15.1,7.7,0,0,0,271,0,0,0,0,78.0%,NA,NA,NA,0,NA,11,35,0.314,2.8,123,6.7%,2.20,0,NA,NA,NA,NA,NA,0.073,0,271,NA,NA,67.8,0.0,0.0,67.8,NA,0.0,-2.3,66.1,50%,NA
2025,11604,Brock Bowers,TE,23.0,LV,11,9,8,176.2,144.2,112.2,14,12,8,708,605,0,0.0%,0,0,0,0,0,0,0.00,2,0,0,0,0.00,0.00,64,375,4,29,7,86,305,680,10.6,7.9,2,0,0,682,0,0,2,1,85.5%,NA,0.00,NA,0,NA,36,88,0.409,3.0,374,16.7%,1.82,0,NA,NA,NA,NA,NA,0.078,0,682,NA,NA,56.8,0.0,0.2,56.7,NA,0.0,-0.2,181.5,58%,27.0
