SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,1DRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,RYOE,ExplRu%,recYPG,AY/Tgt,AY%,RZ Tgt,10+ Tgt,Quick Tgt,EZ Tgt,FPOE(t),FPOE,PROJ,CSTY%,CL
2025,4984,Josh Allen,QB,29.6,BUF,1,PLACEHOLDER,PLACEHOLDER,1,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,21,4,15,16,13,9,35,22,5,8,30,9,11,5,14,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,2,1,1,NA,1,8,9,NA,NA,NA,1,NA,NA,NA,5,9,NA,NA,NA,NA,9,7,24,16,8,27,12,8,15,9,14,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,1,6,1
2025,9488,Jaxon Smith-Njigba,WR,23.8,SEA,2,PLACEHOLDER,PLACEHOLDER,2,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,133,2,4,4,5,1,9,4,16,7,12,1,10,NA,16,NA,38,NA,NA,NA,15,NA,2,4,19,3,23,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,14,NA,NA,3,41,1,11,1,5,13,44,50,2,1,5
2025,7564,Ja'Marr Chase,WR,25.8,CIN,4,PLACEHOLDER,PLACEHOLDER,4,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,122,3,9,1,2,4,55,37,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,1,58,4,2,4,14,9,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,26,NA,NA,4,57,12,4,2,1,30,22,53,4,7,3
2025,9221,Jahmyr Gibbs,RB,23.7,DET,3,PLACEHOLDER,PLACEHOLDER,3,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,81,3,3,3,3,3,9,8,11,11,15,5,3,18,7,8,10,7,38,9,10,19,5,6,14,5,5,4,3,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6,NA,9,6,16,3,NA,NA,NA,NA,NA,NA,31,42,2,7,1
2025,11564,Drake Maye,QB,23.3,NE,2,PLACEHOLDER,PLACEHOLDER,2,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,27,1,2,12,5,4,34,16,1,1,33,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,21,1,4,8,NA,4,15,14,NA,NA,NA,4,NA,NA,NA,2,4,NA,NA,NA,NA,4,2,29,20,29,3,10,1,1,1,3,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,2,3,9
2025,9509,Bijan Robinson,RB,23.8,ATL,2,PLACEHOLDER,PLACEHOLDER,2,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,72,81,2,7,2,1,2,2,2,5,4,5,1,17,3,4,4,4,2,5,3,7,3,3,2,14,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,4,3,8,2,NA,NA,NA,NA,NA,NA,8,6,3,3,4
2025,9493,Puka Nacua,WR,24.5,LAR,1,PLACEHOLDER,PLACEHOLDER,1,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,122,1,4,3,1,2,30,7,11,7,2,2,1,NA,3,NA,55,NA,NA,NA,2,NA,1,2,16,2,33,6,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,2,55,31,11,12,2,58,4,4,1,1,1
2025,4881,Lamar Jackson,QB,28.9,BAL,20,PLACEHOLDER,PLACEHOLDER,20,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,21,22,19,26,28,28,29,11,4,22,27,18,23,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,10,1,9,12,14,NA,12,7,25,NA,NA,NA,12,NA,NA,NA,12,29,NA,NA,NA,NA,25,13,32,4,25,3,26,22,29,21,24,25,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,40,10,20,13
2025,11632,Malik Nabers,WR,22.4,NYG,97,PLACEHOLDER,PLACEHOLDER,97,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,83,43,109,70,102,116,100,9,35,NA,NA,NA,91,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,107,105,92,27,110,94,21,47,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,13,NA,49,NA,NA,13,2,69,84,71,87,40,102,101,88,NA,NA
2025,11604,Brock Bowers,TE,23.0,LV,11,PLACEHOLDER,PLACEHOLDER,11,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,58,10,5,10,13,10,14,10,NA,NA,NA,10,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,9,9,23,3,16,9,10,14,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,3,NA,10,NA,NA,4,11,3,6,14,14,2,43,40,3,3,3
