WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
10,4984,Josh Allen,QB,29.4,BUF,8,8,8,20.34,20.34,20.34,1,1,1,68,65,1,70.0,192,40,28,10,12,1,98.50,337,3,2,306,7.65,10.93,0,0,0,0,0,0,0,0,0.0,0.0,4,0,2,31,0,NA,31,7.75,95.6%,NA,NA,NA,2,NA,14,44,NA,NA,NA,NA,NA,12,30.0%,3.53,20.0%,37.8%,9.60,NA,45.00,337,@ MIA,8,·,25.6,-5.3
10,9509,Bijan Robinson,RB,23.7,ATL,24,24,26,10.8,9.8,8.8,1,1,1,63,54,0,0.0,0,0,0,0,0,0,0.00,84,0,0,0,0.00,0.00,2,4,0,0,0,2,0,4,2.0,2.0,17,3,5,88,0,63,84,4.94,85.7%,5,3.70,0.294,5,0.664,5,19,0.263,5.0,NA,7.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,88,@ IND,25,·,19.8,-9.0
10,7564,Ja'Marr Chase,WR,25.6,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
10,9493,Puka Nacua,WR,24.3,LAR,16,16,18,17.4,14.9,12.4,1,1,0,69,36,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,16,0,4,1,6,48,64,12.8,10.7,0,0,0,64,0,NA,0,0,52.2%,NA,NA,NA,0,NA,5,6,0.833,5.0,23,16.7%,2.78,0,NA,NA,NA,NA,NA,0.174,NA,64,@ SF,25,·,22.0,-4.6
10,4881,Lamar Jackson,QB,28.7,BAL,15,15,15,16.64,16.64,16.64,1,1,1,70,70,1,58.6,76,29,17,8,12,0,87.70,212,1,1,176,6.07,10.35,0,0,0,0,0,0,0,0,0.0,0.0,9,4,3,36,0,NA,36,4,100.0%,NA,NA,NA,3,NA,12,38,NA,NA,NA,NA,NA,9,31.0%,2.59,0.0%,38.2%,4.90,NA,34.00,212,@ MIN,20,·,25.1,-8.5
10,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs DET,10,OUT,OUT,OUT
10,9221,Jahmyr Gibbs,RB,23.5,DET,3,3,2,38.2,36.7,35.2,1,1,1,70,35,0,0.0,0,0,0,0,0,0,0.00,142,0,0,0,0.00,0.00,3,4,0,1,1,4,26,30,10.0,7.5,15,0,5,172,2,51,142,9.47,50.0%,7,3.40,0.467,7,0.807,9,19,0.474,9.0,NA,11.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,172,@ WAS,16,·,19.8,18.4
10,6794,Justin Jefferson,WR,26.3,MIN,42,44,48,7.7,5.7,3.7,1,1,1,65,65,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,17,0,3,0,12,20,37,9.3,3.1,0,0,0,37,0,NA,0,0,100.0%,NA,NA,NA,0,NA,3,12,0.250,3.0,43,28.6%,0.86,0,NA,NA,NA,NA,NA,0.070,NA,37,vs BAL,6,·,16.9,-9.2
10,9488,Jaxon Smith-Njigba,WR,23.6,SEA,9.0,9,9,20.3,17.8,15.3,1,1,1,62,26,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,81,0,3,1,6,12,93,18.6,15.5,0,0,0,93,0,NA,0,0,41.9%,NA,NA,NA,0,NA,4,6,0.667,4.0,11,50.0%,8.45,0,NA,NA,NA,NA,NA,0.273,NA,93,vs ARI,19,·,21.9,-1.6
10,7547,Amon-Ra St. Brown,WR,25.9,DET,19.0,18,19,16.8,14.3,11.8,1,1,1,70,54,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,14,1,3,1,8,44,58,11.6,7.3,0,0,0,58,0,NA,0,0,77.1%,NA,NA,NA,0,NA,4,8,0.500,4.0,26,22.9%,2.23,0,NA,NA,NA,NA,NA,0.115,NA,58,@ WAS,5,·,21.5,-4.7
