WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
14,4984,Josh Allen,QB,29.4,BUF,1,1,1,37.84,37.84,37.84,1,1,1,64,64,0,78.6,77,28,22,10,6,0,139.70,329,3,3,251,8.96,11.41,0,0,0,0,0,0,0,0,0.0,0.0,9,3,3,78,1,NA,78,8.67,100.0%,NA,NA,NA,4,NA,17,37,NA,NA,NA,NA,NA,13,46.4%,3.08,3.6%,38.9%,4.60,NA,36,329,+10.5%,+0.56,vs CIN,5,·,27.7,10.1
14,9509,Bijan Robinson,RB,23.7,ATL,28,29,33,9.4,8.4,7.4,1,1,1,64,43,1,0.0,0,0,0,0,0,0,0.00,86,0,0,0,0.00,0.00,2,1,0,1,0,2,7,8,4.0,4.0,20,1,3,94,0,68,86,4.3,67.0%,6,3.40,0.300,3,0.640,4,22,0.182,4.0,NA,6.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,vs SEA,18,·,19.3,-9.9
14,7564,Ja'Marr Chase,WR,25.6,CIN,31,35,38,10.2,7.7,5.2,1,1,1,60,60,0,0.0,0,0,0,0,0,0,0.00,8,0,0,0,0.00,0.00,5,14,0,3,0,8,30,44,8.8,5.5,1,0,0,52,0,NA,8,8,100.0%,NA,NA,NA,0,NA,3,9,0.333,3.0,37,22.2%,1.19,0,NA,NA,NA,NA,NA,0.081,NA,52,NA,NA,@ BUF,22,·,18.3,-8.1
14,9493,Puka Nacua,WR,24.3,LAR,2,1,1,35.7,32.2,28.7,1,1,1,70,31,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,132,1,5,2,11,35,167,23.9,15.2,0,0,0,167,0,NA,0,0,44.0%,NA,NA,NA,0,NA,7,11,0.636,7.0,22,35.5%,7.59,0,NA,NA,NA,NA,NA,0.227,NA,167,NA,NA,@ ARI,19,·,20.0,15.7
14,4881,Lamar Jackson,QB,28.7,BAL,7,7,7,22.06,22.06,22.06,1,1,1,80,80,0,54.3,145,35,19,8,16,1,71.00,262,2,1,219,6.26,11.53,0,0,0,0,0,0,0,0,0.0,0.0,7,1,2,43,1,NA,43,6.14,100.0%,NA,NA,NA,3,NA,12,42,NA,NA,NA,NA,NA,9,25.7%,3.27,8.6%,23.8%,8.10,NA,42,262,-10.9%,-0.19,vs PIT,7,·,22.9,-0.8
14,11566,Jayden Daniels,QB,24.8,WAS,29,29,29,3.72,3.72,3.72,1,1,1,52,39,0,45.0,25,20,9,4,11,1,35.00,94,1,0,78,3.90,8.67,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,16,0,NA,16,4,75.0%,NA,NA,NA,1,NA,5,24,NA,NA,NA,NA,NA,4,20.0%,2.67,0.0%,36.0%,3.90,NA,25,94,-16.1%,-0.50,@ MIN,26,·,19.4,-15.7
14,9221,Jahmyr Gibbs,RB,23.5,DET,1,1,1,37,33.5,30,1,1,1,62,43,0,0.0,0,0,0,0,0,0,0.00,43,0,0,0,0.00,0.00,7,14,0,3,0,7,63,77,11.0,11.0,12,1,1,120,3,22,43,3.58,69.0%,9,1.80,0.750,4,0.930,7,19,0.368,7.0,NA,20.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,vs DAL,15,·,24.0,13.0
14,6794,Justin Jefferson,WR,26.3,MIN,77,81,82,3.1,2.1,1.1,1,1,1,64,51,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,-1,0,1,0,4,12,11,5.5,2.8,0,0,0,11,0,NA,0,0,80.0%,NA,NA,NA,0,NA,1,4,0.250,1.0,24,17.4%,0.46,0,NA,NA,NA,NA,NA,0.042,NA,11,NA,NA,vs WAS,5,·,13.5,-10.4
14,9488,Jaxon Smith-Njigba,WR,23.6,SEA,3.0,3,4,28.1,24.6,21.1,1,1,1,61,44,1,0.0,0,0,0,0,0,0,0.00,-1,0,0,0,0.00,0.00,7,58,0,2,2,10,34,92,13.1,9.2,1,0,0,91,0,NA,-1,-1,72.0%,NA,NA,NA,0,NA,4,11,0.364,4.0,30,33.3%,3.07,0,NA,NA,NA,NA,NA,0.067,NA,91,NA,NA,@ ATL,13,·,20.5,7.6
14,7547,Amon-Ra St. Brown,WR,25.9,DET,18.0,19,20,15.2,12.2,9.2,1,1,1,62,57,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,40,1,2,0,9,52,92,15.3,10.2,0,0,0,92,0,NA,0,0,92.0%,NA,NA,NA,0,NA,2,9,0.222,2.0,34,26.5%,2.71,0,NA,NA,NA,NA,NA,0.059,NA,92,NA,NA,vs DAL,1,·,17.0,-1.8
