WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
15,4984,Josh Allen,QB,29.4,BUF,6,6,6,24.52,24.52,24.52,1,1,1,70,70,0,67.9,91,28,19,8,9,0,123.10,241,2,3,193,6.89,10.16,0,0,0,0,0,0,0,0,0.0,0.0,11,0,4,48,0,NA,48,4.36,100.0%,NA,NA,NA,4,NA,15,39,NA,NA,NA,NA,NA,11,39.3%,3.12,21.4%,30.3%,7.60,NA,33,241,+3.4%,+0.21,@ NE,18,·,26.1,-1.6
15,9509,Bijan Robinson,RB,23.7,ATL,4,4,6,29.5,25.5,21.5,1,1,1,71,64,1,0.0,0,0,0,0,0,0,0.00,93,0,0,0,0.00,0.00,8,-13,0,4,0,11,95,82,10.3,7.5,19,0,4,175,1,59,93,4.89,90.1%,10,3.10,0.526,5,0.836,9,30,0.300,9.0,NA,25.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,@ TB,5,·,22.6,6.9
15,7564,Ja'Marr Chase,WR,25.6,CIN,6,7,12,23.2,18.2,13.2,1,1,1,76,74,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,10,75,1,5,0,16,57,132,13.2,8.3,0,0,0,132,0,NA,0,0,97.4%,NA,NA,NA,0,NA,5,16,0.313,5.0,43,41.0%,3.07,0,NA,NA,NA,NA,NA,0.116,NA,132,NA,NA,vs BAL,11,·,19.8,3.4
15,9493,Puka Nacua,WR,24.3,LAR,2,2,5,27.9,23.4,18.9,1,1,1,72,40,0,0.0,0,0,0,0,0,0,0.00,8,0,0,0,0.00,0.00,9,126,1,8,0,11,55,181,20.1,16.5,2,1,0,189,0,NA,8,4,55.6%,NA,NA,NA,0,NA,8,13,0.615,8.0,26,28.9%,6.96,0,NA,NA,NA,NA,NA,0.308,NA,189,NA,NA,vs DET,2,·,21.0,6.9
15,4881,Lamar Jackson,QB,28.7,BAL,20,20,20,15.6,15.6,15.6,1,1,1,41,36,1,66.7,88,12,8,4,4,1,114.60,176,4,2,150,12.50,18.75,0,0,0,0,0,0,0,0,0.0,0.0,2,0,2,26,0,NA,26,13,87.8%,NA,NA,NA,2,NA,8,14,NA,NA,NA,NA,NA,6,50.0%,3.08,16.7%,50.0%,10.80,NA,18,176,+3.7%,-0.07,@ CIN,3,·,24.6,-9.0
15,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ NYG,4,OUT,OUT,OUT
15,9221,Jahmyr Gibbs,RB,23.5,DET,30,33,37,9.8,7.8,5.8,1,1,1,64,52,0,0.0,0,0,0,0,0,0,0.00,38,0,0,0,0.00,0.00,4,5,1,1,0,7,15,20,5.0,2.9,13,4,0,58,0,44,38,2.92,81.3%,5,3.40,0.385,0,0.725,1,20,0.050,1.0,NA,17.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,@ LAR,30,·,21.2,-11.4
15,6794,Justin Jefferson,WR,26.3,MIN,76,77,78,4.2,3.2,2.2,1,1,1,55,53,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,15,1,2,0,8,7,22,11.0,2.8,0,0,0,22,0,NA,0,0,96.4%,NA,NA,NA,0,NA,2,8,0.250,2.0,26,33.3%,0.85,0,NA,NA,NA,NA,NA,0.077,NA,22,NA,NA,@ DAL,1,·,14.2,-10.0
15,9488,Jaxon Smith-Njigba,WR,23.6,SEA,13.0,14,20,18.3,14.8,11.3,1,1,1,60,55,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,48,1,3,0,9,65,113,16.1,12.6,0,0,0,113,0,NA,0,0,91.7%,NA,NA,NA,0,NA,3,9,0.333,3.0,36,25.0%,3.14,0,NA,NA,NA,NA,NA,0.083,NA,113,NA,NA,vs IND,7,·,21.7,-3.4
15,7547,Amon-Ra St. Brown,WR,25.9,DET,1.0,1,1,41.4,34.9,28.4,1,1,1,64,61,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,13,104,0,7,2,18,60,164,12.6,9.1,0,0,0,164,0,NA,0,0,95.3%,NA,NA,NA,0,NA,9,18,0.500,9.0,42,43.9%,3.90,0,NA,NA,NA,NA,NA,0.167,NA,164,NA,NA,@ LAR,15,·,18.4,23.0
