WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMP%OE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
18,4984,Josh Allen,QB,29.4,BUF,999,999,999,0,0,0,1,1,1,0,1,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,1.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs NYJ,11,·,2.5,-2.5
18,9509,Bijan Robinson,RB,23.7,ATL,30,36,41,7.3,5.8,4.3,1,1,1,0,53,0,0.0,0,0,0,0,0,0,0.00,33,0,0,0,0.00,0.00,3,-17,0,0,0,3,27,10,3.3,3.3,15,0,2,43,0,44,33,2.2,84.0%,5,2.90,0.333,2,0.623,2,18,0.111,2.0,NA,9.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,vs NO,16,·,21.2,-13.9
18,7564,Ja'Marr Chase,WR,25.6,CIN,4,3,4,23.6,19.6,15.6,1,1,1,0,68,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,46,0,6,1,10,50,96,12.0,9.6,0,0,0,96,0,NA,0,0,100.0%,NA,NA,NA,0,NA,7,10,0.700,7.0,42,25.6%,2.29,0,NA,NA,NA,NA,NA,0.143,NA,96,NA,NA,vs CLE,27,·,18.8,4.8
18,9493,Puka Nacua,WR,24.3,LAR,2,2,2,26,21,16,1,1,1,0,52,0,0.0,0,0,0,0,0,0,0.00,24,0,0,0,0.00,0.00,10,45,0,4,1,11,31,76,7.6,6.9,2,0,2,100,0,NA,24,12,69.0%,NA,NA,NA,2,NA,7,13,0.538,7.0,31,27.5%,2.45,0,NA,NA,NA,NA,NA,0.129,NA,100,NA,NA,vs ARI,19,·,21.2,4.8
18,4881,Lamar Jackson,QB,28.7,BAL,16,16,16,21.42,21.42,21.42,1,1,1,0,51,0,61.1,147,18,11,2,7,1,121.50,247,3,3,238,13.22,21.64,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,9,0,NA,9,2.25,100.0%,NA,NA,NA,1,NA,6,22,NA,NA,NA,NA,NA,5,27.8%,3.43,16.7%,34.8%,10.10,NA,23,247,-6.5%,+0.12,@ PIT,6,·,20.4,1.0
18,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ PHI,27,OUT,OUT,OUT
18,9221,Jahmyr Gibbs,RB,23.5,DET,4,4,6,20.3,18.8,17.3,1,1,1,0,52,0,0.0,0,0,0,0,0,0,0.00,80,0,0,0,0.00,0.00,3,9,0,1,1,5,24,33,11.0,6.6,19,0,4,113,0,55,80,4.21,71.0%,4,2.90,0.211,4,0.501,6,24,0.250,6.0,NA,11.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,@ CHI,23,·,22.1,-1.8
18,6794,Justin Jefferson,WR,26.3,MIN,8,10,11,18.4,14.4,10.4,1,1,1,0,51,0,0.0,0,0,0,0,0,0,0.00,3,0,0,0,0.00,0.00,8,50,0,5,0,11,51,101,12.6,9.2,1,0,0,104,0,NA,3,3,76.0%,NA,NA,NA,0,NA,5,12,0.417,5.0,29,35.5%,3.48,0,NA,NA,NA,NA,NA,0.172,NA,104,NA,NA,vs GB,15,·,13.6,4.8
18,9488,Jaxon Smith-Njigba,WR,23.6,SEA,14.0,14,17,14.4,11.4,8.4,1,1,1,69,57,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,61,0,5,0,8,23,84,14.0,10.5,0,0,0,84,0,NA,0,0,83.0%,NA,NA,NA,0,NA,5,8,0.625,5.0,28,30.8%,3.00,0,NA,NA,NA,NA,NA,0.179,NA,84,NA,NA,@ SF,22,·,21.2,-6.8
18,7547,Amon-Ra St. Brown,WR,25.9,DET,3.0,4,6,24.9,19.4,13.9,1,1,1,0,69,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,11,94,0,8,0,15,45,139,12.6,9.3,0,0,0,139,0,NA,0,0,95.0%,NA,NA,NA,0,NA,8,15,0.533,8.0,43,35.7%,3.23,0,NA,NA,NA,NA,NA,0.186,NA,139,NA,NA,@ CHI,3,·,17.5,7.4
18,6786,CeeDee Lamb,WR,26.5,DAL,99.0,99,101,1.4,0.9,0.4,1,1,1,0,25,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,4,0,1,0,1,0,4,4.0,4.0,0,0,0,4,0,NA,0,0,45.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,10,4.2%,0.40,0,NA,NA,NA,NA,NA,0.100,NA,4,NA,NA,@ NYG,5,·,16.7,-15.3
18,11632,Malik Nabers,WR,22.2,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DAL,1,IR,IR,IR
18,11564,Drake Maye,QB,23.1,NE,14.0,14,14,15.74,15.74,15.74,1,1,1,0,45,0,77.8,96,18,14,6,4,0,129.40,232,0,1,191,10.61,13.64,0,0,0,0,0,0,0,0,0.0,0.0,5,0,3,41,0,NA,41,8.2,76.0%,NA,NA,NA,3,NA,10,23,NA,NA,NA,NA,NA,7,38.9%,3.31,5.6%,43.5%,9.30,NA,23,232,+14.9%,+0.51,vs MIA,9,·,22.3,-6.6
18,12514,Emeka Egbuka,WR,23.0,TB,89.0,89,89,1.8,1.3,0.8,1,1,0,67,39,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,1,0,0,0,3,7,8,8.0,2.7,0,0,0,8,0,NA,0,0,58.0%,NA,NA,NA,0,NA,0,3,0.000,0.0,19,13.6%,0.42,0,NA,NA,NA,NA,NA,0.000,NA,8,NA,NA,vs CAR,21,·,5.7,-3.9
18,11604,Brock Bowers,TE,22.8,LV,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs KC,27,IR,IR,IR
18,6904,Jalen Hurts,QB,27.1,PHI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs WAS,3,DNP,DNP,DNP
