SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
2,4881,Lamar Jackson,QB,28.7,BAL,4,4,4,26.3,26.3,26.3,1,1,1,56,53,0,65.5%,159,29,19,6,10,0,128.60,238,3,4,225,7.76,11.84,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,13,0,NA,13,6.5,94.6%,NA,NA,NA,0,NA,10,31,NA,NA,NA,NA,NA,10,34.5%,2.91,20.7%,44.1%,10.7,NA,34,238,vs CLE,24,OUT,25.5,0.8
2,4984,Josh Allen,QB,29.3,BUF,25,25,25,11.82,11.82,11.82,1,1,1,75,65,0,56.0%,59,25,14,8,11,0,73.40,207,1,0,148,5.92,10.57,0,0,0,0,0,0,0,0,0.0,0.0,6,2,3,59,0,NA,59,9.83,86.7%,NA,NA,NA,3,NA,11,31,NA,NA,NA,NA,NA,8,32.0%,2.94,0.0%,26.7%,5.1,NA,30,207,@ NYJ,6,·,24.1,-12.3
2,7564,Ja'Marr Chase,WR,25.5,CIN,3,3,4,36.5,29.5,22.5,1,1,1,69,66,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,14,73,0,9,1,16,92,165,11.8,10.3,0,0,0,165,0,NA,0,0,95.7%,NA,NA,NA,0,NA,10,16,0.625,10.0,47,35.6%,3.51,0,NA,NA,NA,NA,NA,0.191,NA,165,vs JAX,24,·,20.2,16.3
2,11566,Jayden Daniels,QB,24.7,WAS,16,16,16,19.7,19.7,19.7,1,1,1,69,69,0,57.1%,93,42,24,8,18,0,85.40,217,4,2,200,4.76,8.33,0,0,0,0,0,0,0,0,0.0,0.0,7,0,0,17,0,NA,17,2.43,100.0%,NA,NA,NA,0,NA,10,49,NA,NA,NA,NA,NA,10,23.8%,2.84,9.5%,39.6%,7.1,NA,53,217,@ GB,27,·,23.9,-4.2
2,9509,Bijan Robinson,RB,23.6,ATL,7,8,6,19.8,18.3,16.8,1,1,1,66,43,0,0.0%,0,0,0,0,0,0,0.00,143,0,0,0,0.00,0.00,3,8,1,0,0,5,17,25,8.3,5.0,22,4,5,168,0,112,143,6.5,65.2%,9,5.10,0.409,5,0.919,5,27,0.185,5.0,NA,23.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,168,@ MIN,15,·,18.9,0.9
2,6794,Justin Jefferson,WR,26.2,MIN,38,38,39,11.1,9.6,8.1,1,1,1,47,47,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,59,0,2,0,6,22,81,27.0,13.5,0,0,0,81,0,NA,0,0,100.0%,NA,NA,NA,0,NA,2,6,0.333,2.0,27,28.6%,3.00,0,NA,NA,NA,NA,NA,0.074,NA,81,vs ATL,30,·,18.4,-7.3
2,11632,Malik Nabers,WR,22.1,NYG,2,2,2,37.7,33.2,28.7,1,1,1,67,66,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,146,1,4,2,13,21,167,18.6,12.9,0,0,0,167,0,NA,0,0,98.5%,NA,NA,NA,0,NA,6,13,0.462,6.0,44,31.7%,3.80,0,NA,NA,NA,NA,NA,0.091,NA,167,@ DAL,1,IR,16.3,21.4
2,9221,Jahmyr Gibbs,RB,23.5,DET,8,9,8,19.4,17.9,16.4,1,1,1,59,33,0,0.0%,0,0,0,0,0,0,0.00,94,0,0,0,0.00,0.00,3,-3,0,1,0,3,13,10,3.3,3.3,12,0,4,104,1,23,94,7.83,55.9%,3,1.90,0.250,5,0.440,6,15,0.400,6.0,NA,10.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,104,vs CHI,7,·,19.9,-0.5
2,6786,CeeDee Lamb,WR,26.4,DAL,10.0,12,23,20.2,15.7,11.2,1,1,1,89,82,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,96,1,4,0,11,16,112,12.4,10.2,0,0,0,112,0,NA,0,0,92.1%,NA,NA,NA,0,NA,4,11,0.364,4.0,52,21.2%,2.15,0,NA,NA,NA,NA,NA,0.077,NA,112,vs NYG,3,OUT,18.8,1.4
2,11604,Brock Bowers,TE,22.8,LV,14.0,16,18,8.8,6.3,3.8,1,1,0,70,54,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,21,0,2,0,8,17,38,7.6,4.8,0,0,0,38,0,NA,0,0,77.1%,NA,NA,NA,0,NA,2,8,0.250,2.0,37,18.6%,1.03,0,NA,NA,NA,NA,NA,0.054,NA,38,vs LAC,26,OUT,14.8,-6.0
