SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
3,4984,Josh Allen,QB,29.3,BUF,5,5,5,23.02,23.02,23.02,1,1,1,60,60,1,78.6%,53,28,22,9,6,0,134.10,238,2,3,213,7.61,9.68,0,0,0,0,0,0,0,0,0.0,0.0,4,0,0,25,0,NA,25,6.25,100.0%,NA,NA,NA,0,NA,12,32,NA,NA,NA,NA,NA,12,42.9%,2.62,3.6%,9.4%,3.2,NA,32,238,vs MIA,3,·,25.7,-2.7
3,4881,Lamar Jackson,QB,28.7,BAL,3,3,3,27.02,27.02,27.02,1,1,1,57,57,1,77.8%,187,27,21,11,6,0,148.10,323,7,3,288,10.67,13.71,0,0,0,0,0,0,0,0,0.0,0.0,7,0,2,35,0,NA,35,5,100.0%,NA,NA,NA,2,NA,16,34,NA,NA,NA,NA,NA,14,51.9%,3.00,11.1%,40.5%,10.2,NA,37,323,vs DET,11,OUT,25.5,1.5
3,7564,Ja'Marr Chase,WR,25.6,CIN,41,44,53,8.9,6.4,3.9,1,1,1,56,48,1,0.0%,0,0,0,0,0,0,0.00,9,0,0,0,0.00,0.00,5,26,0,1,0,6,24,50,10.0,8.3,1,0,0,59,0,NA,9,9,86.0%,NA,NA,NA,0,NA,1,7,0.143,1.0,27,22.2%,1.85,0,NA,NA,NA,NA,NA,0.037,NA,59,@ MIN,32,·,17.4,-8.5
3,9509,Bijan Robinson,RB,23.6,ATL,13,14,16,16.1,13.6,11.1,1,1,1,66,53,0,0.0%,0,0,0,0,0,0,0.00,72,0,0,0,0.00,0.00,5,1,0,2,0,6,38,39,7.8,6.5,13,0,4,111,0,55,72,5.54,80.0%,5,4.20,0.385,4,0.805,6,19,0.316,6.0,NA,14.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,111,@ CAR,16,·,20.2,-4.1
3,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs LV,13,·,DNP,DNP
3,11632,Malik Nabers,WR,22.2,NYG,88,88,91,3.3,2.3,1.3,1,1,1,66,61,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,9,0,0,0,7,4,13,6.5,1.9,0,0,0,13,0,NA,0,0,92.0%,NA,NA,NA,0,NA,0,7,0.000,0.0,32,21.9%,0.41,0,NA,NA,NA,NA,NA,0.000,NA,13,vs KC,31,IR,18.6,-15.3
3,6794,Justin Jefferson,WR,26.3,MIN,30,33,32,12.5,10,7.5,1,1,1,60,48,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,31,0,2,0,7,44,75,15.0,10.7,0,0,0,75,0,NA,0,0,80.0%,NA,NA,NA,0,NA,2,7,0.286,2.0,23,29.2%,3.26,0,NA,NA,NA,NA,NA,0.087,NA,75,vs CIN,11,·,18.0,-5.5
3,9221,Jahmyr Gibbs,RB,23.5,DET,3,3,4,26.9,24.4,21.9,1,1,1,68,47,0,0.0%,0,0,0,0,0,0,0.00,67,0,0,0,0.00,0.00,5,-3,0,0,0,6,35,32,6.4,5.3,22,0,3,99,2,57,67,3.05,69.0%,9,2.60,0.409,5,0.669,5,28,0.179,5.0,NA,21.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,99,@ BAL,2,·,19.2,7.7
3,6786,CeeDee Lamb,WR,26.4,DAL,999.0,999,999,0,0,0,1,1,1,74,7,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,9.0%,NA,NA,NA,0,NA,0,0,NA,0.0,3,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,@ CHI,23,OUT,20.4,-20.4
3,11604,Brock Bowers,TE,22.8,LV,13.0,14,16,9.8,7.8,5.8,1,1,0,66,55,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,17,0,2,0,5,21,38,9.5,7.6,0,0,0,38,0,NA,0,0,83.0%,NA,NA,NA,0,NA,2,5,0.400,2.0,30,17.2%,1.27,0,NA,NA,NA,NA,NA,0.067,NA,38,@ WAS,11,OUT,15.2,-5.4
3,6904,Jalen Hurts,QB,27.1,PHI,2.0,2,2,29.04,29.04,29.04,1,1,1,67,67,1,65.6%,163,32,21,6,11,0,117.40,266,4,3,226,7.06,10.76,0,0,0,0,0,0,0,0,0.0,0.0,9,0,4,40,1,NA,40,4.44,100.0%,NA,NA,NA,5,NA,14,41,NA,NA,NA,NA,NA,9,28.1%,2.91,12.5%,48.6%,8.4,NA,37,266,vs LAR,17,·,24.4,4.6
3,9493,Puka Nacua,WR,24.3,LAR,5.0,8,17,22.8,17.3,11.8,1,1,1,66,60,0,0.0%,0,0,0,0,0,0,0.00,6,0,0,0,0.00,0.00,11,75,0,7,0,15,37,112,10.2,7.5,1,0,0,118,0,NA,6,6,91.0%,NA,NA,NA,0,NA,7,16,0.438,7.0,31,44.1%,3.61,0,NA,NA,NA,NA,NA,0.226,NA,118,@ PHI,15,·,20.0,2.8
3,7547,Amon-Ra St. Brown,WR,25.9,DET,7.0,9,9,20.7,17.2,13.7,1,1,1,68,58,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,64,0,4,1,8,13,77,11.0,9.6,0,0,0,77,0,NA,0,0,85.0%,NA,NA,NA,0,NA,5,8,0.625,5.0,28,28.6%,2.75,0,NA,NA,NA,NA,NA,0.143,NA,77,@ BAL,2,·,18.1,2.6
3,6797,Justin Herbert,QB,27.5,LAC,12.0,12,12,15.6,15.6,15.6,1,1,1,86,86,0,59.6%,165,47,28,16,19,1,76.60,306,5,1,300,6.38,10.71,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,6,0,NA,6,3,100.0%,NA,NA,NA,1,NA,18,49,NA,NA,NA,NA,NA,17,36.2%,2.96,6.4%,54.7%,8.4,NA,53,306,vs DEN,29,·,21.1,-5.5
