WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE,TD(t)
8,4984,Josh Allen,QB,29.4,BUF,9,9,9,23.22,23.22,23.22,1,1,1,63,52,0,63.2%,47,19,12,7,7,0,108.00,170,2,1,163,8.58,13.58,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,7,2,NA,7,2.33,83.0%,NA,NA,NA,2,NA,10,22,NA,NA,NA,NA,NA,8,42.1%,2.90,0.0%,28.6%,5.80,NA,21,170,@ CAR,25,·,26.5,-3.3,3.0
8,9509,Bijan Robinson,RB,23.7,ATL,36,39,44,5.8,4.3,2.8,1,1,1,50,30,1,0.0%,0,0,0,0,0,0,0.00,25,0,0,0,0.00,0.00,3,-4,0,1,0,3,27,23,7.7,7.7,9,0,1,48,0,25,25,2.78,60.0%,2,2.80,0.222,1,0.502,2,12,0.167,2.0,NA,9.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,48,vs MIA,3,·,22.7,-16.9,0.0
8,7564,Ja'Marr Chase,WR,25.6,CIN,4,9,23,21.1,15.1,9.1,1,1,1,59,58,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,12,14,1,5,0,19,77,91,7.6,4.8,0,0,0,91,0,NA,0,0,98.0%,NA,NA,NA,0,NA,5,19,0.263,5.0,34,55.9%,2.68,0,NA,NA,NA,NA,NA,0.147,NA,91,vs NYJ,25,·,19.9,1.2,0.0
8,9493,Puka Nacua,WR,24.3,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,4881,Lamar Jackson,QB,28.7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs CHI,7,OUT,OUT,OUT,0.0
8,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ KC,28,OUT,OUT,OUT,0.0
8,9221,Jahmyr Gibbs,RB,23.5,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,6794,Justin Jefferson,WR,26.3,MIN,20,26,31,14.4,10.9,7.4,1,1,1,49,43,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,31,0,3,0,11,43,74,10.6,6.7,0,0,0,74,0,NA,0,0,88.0%,NA,NA,NA,0,NA,3,11,0.273,3.0,32,35.5%,2.31,0,NA,NA,NA,NA,NA,0.094,NA,74,@ LAC,20,·,16.5,-2.1,0.0
8,9488,Jaxon Smith-Njigba,WR,23.6,SEA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,7547,Amon-Ra St. Brown,WR,25.9,DET,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
