RANGE,POS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Top 60,WR,25,21,21,22,22,21,20,25,24,21,20,22,20,26,24,21,23,19,17
Top 60,RB,15,19,15,18,16,15,17,11,9,13,15,13,13,10,12,17,14,18,20
Top 60,QB,12,17,18,19,17,21,18,19,22,24,22,21,24,22,22,20,19,19,21
Top 60,TE,8,3,6,1,5,3,5,5,5,2,3,4,3,2,2,2,4,4,2
Top 48,WR,21,19,17,18,18,17,18,17,17,16,15,15,15,18,18,17,16,13,11
Top 48,RB,11,16,12,15,13,10,13,9,6,10,11,13,12,8,8,13,12,16,16
Top 48,QB,11,11,15,14,14,18,16,18,20,22,20,17,20,20,20,17,19,17,20
Top 48,TE,5,2,4,1,3,3,1,4,5,0,2,3,1,2,2,1,1,2,1
Top 36,WR,16,16,13,12,14,15,14,12,14,11,9,11,8,10,11,12,14,8,7
Top 36,RB,6,11,10,13,9,8,6,7,2,7,10,8,8,8,7,9,7,11,13
Top 36,QB,10,8,10,10,11,13,15,16,17,18,15,15,19,18,16,14,15,18,15
Top 36,TE,4,1,3,1,2,0,1,1,3,0,2,2,1,0,2,1,0,-1,1
Top 24,WR,10,11,9,7,8,8,11,9,8,6,6,8,5,5,7,6,8,5,5
Top 24,RB,3,6,5,9,5,5,5,6,1,6,7,5,6,3,4,6,3,6,6
Top 24,QB,8,6,9,8,9,11,7,9,15,12,11,10,13,14,12,11,13,13,12
Top 24,TE,3,1,1,0,2,0,1,0,0,0,0,1,0,2,1,1,0,0,1
Top 12,WR,7,4,5,3,2,2,6,4,5,3,2,2,1,1,3,4,4,1,3
Top 12,RB,0,4,4,4,4,3,3,3,1,4,5,5,4,1,2,3,1,4,4
Top 12,QB,5,4,3,5,5,7,2,5,6,5,5,5,7,10,7,4,7,7,5
Top 12,TE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Top 6,WR,4,2,1,1,1,2,1,1,3,0,2,0,1,0,1,1,2,1,1
Top 6,RB,0,2,4,2,1,1,3,3,0,3,3,4,1,1,1,1,1,0,4
Top 6,QB,2,2,1,3,4,3,2,2,3,3,1,2,4,5,4,4,3,5,1
Top 6,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
